"","Location","PopTotal"
"257477","UNICEF Regions: South Asia",1835297503
"257628","UNICEF Regions: Sub-Saharan Africa",1109096648
"257779","UNICEF Regions: West and Central Africa",533923275
"257930","UNICEF Regions: Western Europe",496859260
"258081","UNITED NATIONS Regional Groups of Member States",7707903418
"258232","Uganda",44269587
"259116","Ukraine",43993643
"260000","United Arab Emirates",9770526
"260884","United Kingdom",67530161
"261768","United Kingdom (and dependencies)",68045699
"261919","United Nations Economic Commission for Africa (UN-ECA)",1306320572
"262070","United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC)",648117584
"262221","United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions",4590691950
"262372","United Nations Member States",7707903510
"262523","United Republic of Tanzania",58005461
"263407","United States Virgin Islands",104579
"264291","United States of America",329064917
"265175","United States of America (and dependencies)",332382720
"265326","Upper-middle-income countries",2638958430
"266210","Uruguay",3461731
"267094","Uzbekistan",32981715
"267978","Vanuatu",299882
"268862","Venezuela (Bolivarian Republic of)",28515829
"269746","Viet Nam",96462108
"270630","WB region: East Asia and Pacific (excluding high income)",2129754531
"270781","WB region: Europe and Central Asia (excluding high income)",421035757
"270932","WB region: Latin America and Caribbean (excluding high income)",569811869
"271083","WB region: Middle East and North Africa (excluding high income)",389753191
"271234","WB region: South Asia (excluding high income)",1835297503
"271385","WB region: Sub-Saharan Africa (excluding high income)",1106864204
"271536","WHO Regions",7668888226
"271687","WHO: African region (AFRO)",1091758856
"271838","WHO: Americas (AMRO)",1009950130
"271989","WHO: Eastern Mediterranean Region (EMRO)",712276291
"272140","WHO: European Region (EURO)",930166618
"272291","WHO: South-East Asia region (SEARO)",2001946277
"272442","WHO: Western Pacific region (WPRO)",1922790054
"272593","Wallis and Futuna Islands",11436
"273477","West African Economic and Monetary Union (UEMOA)",127107468
"273628","Western Africa",391440147
"274512","Western Asia",275324793
"275396","Western Europe",195522412
"276280","Western European and Others Group (WEOG)",919088423
"276431","Western Sahara",582458
"277315","World",7713468205
"278199","World Bank Regional Groups (developing only)",6452517055
"278350","Yemen",29161922
"279234","Zambia",17861034
"280118","Zimbabwe",14645473
